CollegeCode,College,BranchCode,Branch,OC,BC,BCM,MBC,MBCDNC,MBCV,SC,SCA,ST
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",BY,BIO MEDICAL ENGINEERING  (SS),195.0,194.0,193.5,194.775,190.0,192.5,189.0,182.5,181.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CE,CIVIL  ENGINEERING,193.5,192.685,190.5,193.33,190.275,191.24,190.0,182.0,174.635
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CM,COMPUTER SCIENCE AND ENGINEERING (SS),198.0,197.6666667,196.375,197.5,196.76,196.0,193.0,192.06,190.815
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",CS,COMPUTER SCIENCE AND ENGINEERING,199.0,198.12,197.02,198.625,198.0,198.0,196.5,193.935,192.165
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EC,ELECTRONICS AND COMMUNICATION ENGINEERING,197.99,197.3333333,196.0,197.13,195.54,195.78,194.35,192.0,192.5
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EE,ELECTRICAL AND ELECTRONICS ENGINEERING,195.995,195.0,193.825,195.46,193.89,193.955,191.0,190.385,191.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),196.575,196.0,195.855,196.0,195.035,194.35,192.185,189.01,187.5
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",GI,GEO INFORMATICS,193.15,192.0,191.965,193.08,189.0,192.0,188.0,182.295,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IE,INDUSTRIAL ENGINEERING,192.0,191.42,190.3,191.5,189.0,189.585,187.065,179.815,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",IM,INFORMATION TECHNOLOGY (SS),197.0,196.0,194.4,195.825,195.765,194.905,191.5,189.145,192.44
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MA,MATERIAL SCIENCE AND ENGINEERING (SS),192.0,190.755,188.065,190.86,188.0,186.505,184.92,171.625,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",ME,MECHANICAL ENGINEERING,194.615,193.5,193.0,193.54,191.33,191.0,188.255,186.53,181.065
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MI,MINING ENGINEERING,190.515,188.44,188.795,187.47,188.13,187.79,183.655,174.12,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",MN,MANUFACTURING ENGINEERING,191.355,190.0,186.82,191.0,188.5,188.31,185.65,184.78,172.9
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",PT,PRINTING TECHNOLOGY,189.75,187.5,185.0,187.875,186.49,185.86,183.36,177.19,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XC,CIVIL ENGINEERING (TAMIL MEDIUM),187.035,181.77,177.845,182.305,179.495,184.33,176.89,173.03,0.0
1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025",XM,MECHANICAL ENGINEERING (TAMIL MEDIUM),184.44,182.5,182.385,0.0,180.26,179.95,177.11,175.585,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",AP,APPAREL TECHNOLOGY (SS),186.5,182.5,179.315,184.725,182.185,182.25,174.715,168.46,0.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CH,CHEMICAL  ENGINEERING,193.68,192.0,0.0,193.385,189.32,189.745,187.495,180.415,188.0
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CL,CHEMICAL  ENGINEERING (SS),191.735,190.67,188.5,191.5,188.0,188.0,184.715,0.0,171.39
2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025",CR,CERAMIC TECHNOLOGY (SS),185.585,182.61,183.5,181.925,181.385,183.825,175.5,161.835,0.0
